url,posted_date,letter_date,company,issuing_office,subject
/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/24hrdoc-inc-dba-24hrdoc-717984-02202026,03/03/2026,02/20/2026,"24HrDoc, Inc. dba 24HrDoc",Center for Drug Evaluation and Research (CDER),False & Misleading Claims/Misbranded
/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/alan-health-technologies-inc-dba-alan-721814-02202026,03/03/2026,02/20/2026,Alan Health Technologies Inc. dba Alan,Center for Drug Evaluation and Research (CDER),False & Misleading Claims/Misbranded
/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/aspen-aesthetics-dba-fifty-410-721481-02202026,03/03/2026,02/20/2026,Aspen Aesthetics dba Fifty 410,Center for Drug Evaluation and Research (CDER),False & Misleading Claims/Misbranded
/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/fitrx-llc-dba-fitrx-717987-02202026,03/03/2026,02/20/2026,"FitRX, LLC dba FitRx",Center for Drug Evaluation and Research (CDER),False & Misleading Claims/Misbranded
/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/deluxe-iv-aesthetics-pllc-dba-deluxe-iv-and-aesthetics-721447-02202026,03/03/2026,02/20/2026,Deluxe IV Aesthetics PLLC dba Deluxe IV and Aesthetics,Center for Drug Evaluation and Research (CDER),False & Misleading Claims/Misbranded
/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/genesis-health-international-inc-dba-genesis-721451-02202026,03/03/2026,02/20/2026,Genesis Health International Inc. dba Genesis,Center for Drug Evaluation and Research (CDER),False & Misleading Claims/Misbranded
/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/dripgym-mobile-parent-llc-dba-amp-health-717992-02202026,03/03/2026,02/20/2026,"Dripgym Mobile Parent, LLC dba Amp Health",Center for Drug Evaluation and Research (CDER),False & Misleading Claims/Misbranded
/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/levity-inc-dba-levity-717990-02202026,03/03/2026,02/20/2026,Levity Inc. dba Levity,Center for Drug Evaluation and Research (CDER),False & Misleading Claims/Misbranded
/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/bluefitmd-721446-02202026,03/03/2026,02/20/2026,BluefitMD,Center for Drug Evaluation and Research (CDER),False & Misleading Claims/Misbranded
/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/belle-health-llc-dba-belle-721795-02202026,03/03/2026,02/20/2026,Belle Health LLC dba Belle,Center for Drug Evaluation and Research (CDER),False & Misleading Claims/Misbranded
/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/bliv-wellness-llc-dba-bliv-721479-02202026,03/03/2026,02/20/2026,Bliv Wellness LLC dba Bliv,Center for Drug Evaluation and Research (CDER),False & Misleading Claims/Misbranded
